"id","time","length","signal","duration","mac","sequence","tags","ssid","vendor"
1,2017-11-15 19:43:56,163,-72,208,"a05cada2fd9149e33559764a6b3de0e578cb0916b0d94ce8e7adb1a828de6fdb",3020,"9,8,26,8,1,12,5,5,7,9","VM3280449","Wisol"
2,2017-11-15 19:43:56,163,-72,208,"a05cada2fd9149e33559764a6b3de0e578cb0916b0d94ce8e7adb1a828de6fdb",3021,"9,8,26,8,1,12,5,5,7,9","VM3280449","Wisol"
3,2017-11-15 19:44:06,163,-71,208,"a05cada2fd9149e33559764a6b3de0e578cb0916b0d94ce8e7adb1a828de6fdb",3036,"9,8,26,8,1,12,5,5,7,9","VM3280449","Wisol"
4,2017-11-15 19:44:06,163,-71,208,"a05cada2fd9149e33559764a6b3de0e578cb0916b0d94ce8e7adb1a828de6fdb",3037,"9,8,26,8,1,12,5,5,7,9","VM3280449","Wisol"
5,2017-11-15 19:44:16,163,-71,208,"a05cada2fd9149e33559764a6b3de0e578cb0916b0d94ce8e7adb1a828de6fdb",3049,"9,8,26,8,1,12,5,5,7,9","VM3280449","Wisol"
6,2017-11-15 19:44:16,163,-71,208,"a05cada2fd9149e33559764a6b3de0e578cb0916b0d94ce8e7adb1a828de6fdb",3050,"9,8,26,8,1,12,5,5,7,9","VM3280449","Wisol"
7,2017-11-15 19:44:46,186,-92,1488,"970d4f884786f2df9bc4756602376ff9e4727b027804174fa0a5d219f33592f7",910,"0,4,8,1,26,8,7,11,30,8,9","",NA
8,2017-11-15 19:44:46,186,-91,1488,"970d4f884786f2df9bc4756602376ff9e4727b027804174fa0a5d219f33592f7",911,"0,4,8,1,26,8,7,11,30,8,9","",NA
9,2017-11-15 19:44:46,187,-87,1488,"32e99b93411db3188461bcd9514ed4f2376f9b45e3fd85e431dab06d090854c2",914,"0,4,8,1,26,8,7,11,30,8,9","",NA
10,2017-11-15 19:44:46,187,-87,1488,"32e99b93411db3188461bcd9514ed4f2376f9b45e3fd85e431dab06d090854c2",915,"0,4,8,1,26,8,7,11,30,8,9","",NA
11,2017-11-15 19:44:50,312,-86,2488,"49a67e0bff855ba8ed45cc36ba36ca3a034c8a5b182bd5db4c9cb2a0a0d20272",2748,"0,4,8,1,26,146,17,9,30","","Nvidia"
12,2017-11-15 19:44:50,312,-82,2488,"49a67e0bff855ba8ed45cc36ba36ca3a034c8a5b182bd5db4c9cb2a0a0d20272",2749,"0,4,8,1,26,146,17,9,30","","Nvidia"
13,2017-11-15 19:44:50,312,-81,2488,"49a67e0bff855ba8ed45cc36ba36ca3a034c8a5b182bd5db4c9cb2a0a0d20272",2750,"0,4,8,1,26,146,17,9,30","","Nvidia"
14,2017-11-15 19:44:51,187,-92,1488,"49b4d484eeb5132d2433cc160d0197f304a6aa181a33e249b0819489e33d79e9",961,"0,4,8,1,26,8,7,11,30,8,9","",NA
15,2017-11-15 19:44:59,187,-90,1488,"75bfc0d9c4af707f954a0b0f8672876ed8a655ab3a5664edc7d2ae7a0d534a4b",994,"0,4,8,1,26,8,7,11,30,8,9","",NA
16,2017-11-15 19:44:59,187,-90,1488,"75bfc0d9c4af707f954a0b0f8672876ed8a655ab3a5664edc7d2ae7a0d534a4b",995,"0,4,8,1,26,8,7,11,30,8,9","",NA
17,2017-11-15 19:45:10,71,-15,560,"59fe5887d818fd96b120a8294452cf325b4b355a44b23f780009c3fc2b54c9b1",1108,"0,8,4","","Google"
18,2017-11-15 19:45:10,71,-43,560,"59fe5887d818fd96b120a8294452cf325b4b355a44b23f780009c3fc2b54c9b1",1112,"0,8,4","","Google"
19,2017-11-15 19:45:10,71,-47,560,"59fe5887d818fd96b120a8294452cf325b4b355a44b23f780009c3fc2b54c9b1",1113,"0,8,4","","Google"
