date,team1,scores,team2,type,city,et,pen
2020-06-14,Russia,5-0,Saudi Arabia,A,Moscow,false,
2018-06-15,Egypt,0-1,Uruguay,A,Ekaterinburg,false,
2018-06-15,Morocco,0-1,Iran,B,St Petersburg,false,
2018-06-15,Portugal,3-3,Spain,B,Sochi,false,
2018-06-16,France,2-1,Australia,C,Kazan,false,
2018-06-16,Argentina,1-1,Iceland,D,Moscow,false,
2018-06-16,Peru,0-1,Denmark,C,Saransk,false,
2018-06-16,Croatia,2-0,Nigeria,D,Kaliningrad,false,
2018-06-17,Costa Rica,0-1,Serbia,E,Samara,false,
2018-06-17,Germany,0-1,Mexico,F,Moscow,false,
2018-06-17,Brazil,1-1,Switzerland,E,Rostov-on-Don,false,
2018-06-18,Sweden,1-0,South Korea,F,Nizhny Novgorod,false,
2018-06-18,Belgium,3-0,Panama,G,Sochi,false,
2018-06-18,Tunisia,1-2,England,G,Volgograd,false,
2018-06-19,Colombia,1-2,Japan,H,Saransk,false,
2018-06-19,Poland,1-2,Senegal,H,Moscow,false,
2018-06-19,Russia,3-1,Egypt,A,St Petersburg,false,
2018-06-20,Portugal,1-0,Morocco,B,Moscow,false,
2018-06-20,Uruguay,1-0,Saudi Arabia,A,Rostov-on-Don,false,
2018-06-20,Iran,0-1,Spain,B,Kazan,false,
2018-06-21,Denmark,1-1,Australia,C,Samara,false,
2018-06-21,France,1-0,Peru,C,Ekaterinburg,false,
2018-06-21,Argentina,0-3,Croatia,D,Nizhny Novgorod,false,
2018-06-22,Brazil,2-0,Costa Rica,E,St Petersburg,false,
2018-06-22,Nigeria,2-0,Iceland,D,Volgograd,false,
2018-06-22,Serbia,1-2,Switzerland,E,Kaliningrad,false,
2018-06-23,Belgium,5-2,Tunisia,G,Moscow,false,
2018-06-23,South Korea,1-2,Mexico,F,Rostov-on-Don,false,
2018-06-23,Germany,2-1,Sweden,F,Sochi,false,
2018-06-24,England,6-1,Panama,G,Nizhny Novgorod,false,
2018-06-24,Japan,2-2,Senegal,H,Ekaterinburg,false,
2018-06-24,Poland,0-3,Colombia,H,Kazan,false,
2018-06-25,Uruguay,3-0,Russia,A,Samara,false,
2018-06-25,Saudi Arabia,2-1,Egypt,A,Volgograd,false,
2018-06-25,Spain,2-2,Morocco,B,Kaliningrad,false,
2018-06-25,Iran,1-1,Portugal,B,Saransk,false,
2018-06-26,Denmark,0-0,France,C,Moscow,false,
2018-06-26,Australia,0-2,Peru,C,Sochi,false,
2018-06-26,Nigeria,1-2,Argentina,D,St Petersburg,false,
2018-06-26,Iceland,1-2,Croatia,D,Rostov-on-Don,false,
2018-06-27,South Korea,2-0,Germany,F,Kazan,false,
2018-06-27,Mexico,0-3,Sweden,F,Ekaterinburg,false,
2018-06-27,Serbia,0-2,Brazil,E,Moscow,false,
2018-06-27,Switzerland,2-2,Costa Rica,E,Nizhny Novgorod,false,
2018-06-28,Japan,0-1,Poland,H,Volgograd,false,
2018-06-28,Senegal,0-1,Colombia,H,Samara,false,
2018-06-28,England,0-1,Belgium,G,Kaliningrad,false,
2018-06-28,Panama,1-2,Tunisia,G,Saransk,false,
2018-06-30,France,4-3,Argentina,l16,Kazan,false,
2018-06-30,Uruguay,2-1,Portugal,l16,Sochi,false,
2018-07-01,Spain,1-1,Russia,l16,Moscow,true,3-4
2018-07-01,Croatia,1-1,Denmark,l16,Nizhny Novgorod,true,3-2
2018-07-02,Brazil,2-0,Mexico,l16,Samara,false,
2018-07-02,Belgium,3-2,Japan,l16,Rostov-on-Don,false,
2018-07-03,Sweden,1-0,Switzerland,l16,St Petersburg,false,
2018-07-03,Colombia,1-1,England,l16,Moscow,true,3-4
2018-07-06,Uruguay,0-2,France,qf,Nizhny Novgorod,false,
2018-07-06,Brazil,1-2,Belgium,qf,Kazan,false,
2018-07-07,Sweden,0-2,England,qf,Samara,false,
2018-07-07,Russia,2-2,Croatia,qf,Sochi,true,3-4
2018-07-10,France,1-0,Belgium,sf,St Petersburg,false,
2018-07-11,Croatia,2-1,England,sf,Moscow,true,
2018-07-14,Belgium,2-0,England,tp,St Petersburg,false,
2018-07-15,France,4-2,Croatia,Final,Moscow,false,
