"","day","date","team1","st1","st2","pt1","pt2","team2","group","venue","time","duration","winner"
"1","Thursday","2018-06-14","Russia",5,0,NA,NA,"Saudi Arabia","Group A","Moscow","04:00 pm",2,"Russia"
"2","Friday","2018-06-15","Egypt",0,1,NA,NA,"Uruguay","Group A","Ekaterinburg","01:00 pm",2,"Uruguay"
"3","Friday","2018-06-15","Morocco",0,1,NA,NA,"Iran","Group B","St Petersburg","04:00 pm",2,"Iran"
"4","Friday","2018-06-15","Portugal",3,3,NA,NA,"Spain","Group B","Sochi","07:00 pm",2,NA
"5","Saturday","2018-06-16","France",2,1,NA,NA,"Australia","Group C","Kazan","11:00 am",2,"France"
"6","Saturday","2018-06-16","Argentina",1,1,NA,NA,"Iceland","Group D","Moscow","02:00 pm",2,NA
"7","Saturday","2018-06-16","Peru",0,1,NA,NA,"Denmark","Group C","Saransk","05:00 pm",2,"Denmark"
"8","Saturday","2018-06-16","Croatia",2,0,NA,NA,"Nigeria","Group D","Kaliningrad","08:00 pm",2,"Croatia"
"9","Sunday","2018-06-17","Costa Rica",0,1,NA,NA,"Serbia","Group E","Samara","01:00 pm",2,"Serbia"
"10","Sunday","2018-06-17","Germany",0,1,NA,NA,"Mexico","Group F","Moscow","04:00 pm",2,"Mexico"
"11","Sunday","2018-06-17","Brazil",1,1,NA,NA,"Switzerland","Group E","Rostov-on-Don","07:00 pm",2,NA
"12","Monday","2018-06-18","Sweden",1,0,NA,NA,"South Korea","Group F","Nizhny Novgorod","01:00 pm",2,"Sweden"
"13","Monday","2018-06-18","Belgium",3,0,NA,NA,"Panama","Group G","Sochi","04:00 pm",2,"Belgium"
"14","Monday","2018-06-18","Tunisia",1,2,NA,NA,"England","Group G","Volgograd","07:00 pm",2,"England"
"15","Tuesday","2018-06-19","Colombia",1,2,NA,NA,"Japan","Group H","Saransk","01:00 pm",2,"Japan"
"16","Tuesday","2018-06-19","Poland",1,2,NA,NA,"Senegal","Group H","Moscow","04:00 pm",2,"Senegal"
"17","Tuesday","2018-06-19","Russia",3,1,NA,NA,"Egypt","Group A","St Petersburg","07:00 pm",2,"Russia"
"18","Wednesday","2018-06-20","Portugal",1,0,NA,NA,"Morocco","Group B","Moscow","01:00 pm",2,"Portugal"
"19","Wednesday","2018-06-20","Uruguay",1,0,NA,NA,"Saudi Arabia","Group A","Rostov-on-Don","04:00 pm",2,"Uruguay"
"20","Wednesday","2018-06-20","Iran",0,1,NA,NA,"Spain","Group B","Kazan","07:00 pm",2,"Spain"
"21","Thursday","2018-06-21","Denmark",1,1,NA,NA,"Australia","Group C","Samara","01:00 pm",2,NA
"22","Thursday","2018-06-21","France",1,0,NA,NA,"Peru","Group C","Ekaterinburg","04:00 pm",2,"France"
"23","Thursday","2018-06-21","Argentina",0,3,NA,NA,"Croatia","Group D","Nizhny Novgorod","07:00 pm",2,"Croatia"
"24","Friday","2018-06-22","Brazil",2,1,NA,NA,"Costa Rica","Group E","St Petersburg","01:00 pm",2,"Brazil"
"25","Friday","2018-06-22","Nigeria",2,0,NA,NA,"Iceland","Group D","Volgograd","04:00 pm",2,"Nigeria"
"26","Friday","2018-06-22","Serbia",1,2,NA,NA,"Switzerland","Group E","Kaliningrad","07:00 pm",2,"Switzerland"
"27","Saturday","2018-06-23","Belgium",5,2,NA,NA,"Tunisia","Group G","Moscow","01:00 pm",2,"Belgium"
"28","Saturday","2018-06-23","South Korea",1,2,NA,NA,"Mexico","Group F","Rostov-on-Don","04:00 pm",2,"Mexico"
"29","Saturday","2018-06-23","Germany",2,1,NA,NA,"Sweden","Group F","Sochi","07:00 pm",2,"Germany"
"30","Sunday","2018-06-24","England",6,1,NA,NA,"Panama","Group G","Nizhny Novgorod","01:00 pm",2,"England"
"31","Sunday","2018-06-24","Japan",2,2,NA,NA,"Senegal","Group H","Ekaterinburg","04:00 pm",2,NA
"32","Sunday","2018-06-24","Poland",0,3,NA,NA,"Colombia","Group H","Kazan","07:00 pm",2,"Colombia"
"33","Monday","2018-06-25","Uruguay",3,0,NA,NA,"Russia","Group A","Samara","03:00 pm",2,"Uruguay"
"34","Monday","2018-06-25","Saudi Arabia",2,1,NA,NA,"Egypt","Group A","Volgograd","03:00 pm",2,"Saudi Arabia"
"35","Monday","2018-06-25","Spain",2,2,NA,NA,"Morocco","Group B","Kaliningrad","07:00 pm",2,NA
"36","Monday","2018-06-25","Iran",1,1,NA,NA,"Portugal","Group B","Saransk","07:00 pm",2,NA
"37","Tuesday","2018-06-26","Denmark",0,0,NA,NA,"France","Group C","Moscow","03:00 pm",2,NA
"38","Tuesday","2018-06-26","Australia",0,2,NA,NA,"Peru","Group C","Sochi","03:00 pm",2,"Peru"
"39","Tuesday","2018-06-26","Nigeria",1,2,NA,NA,"Argentina","Group D","St Petersburg","07:00 pm",2,"Argentina"
"40","Tuesday","2018-06-26","Iceland",1,2,NA,NA,"Croatia","Group D","Rostov-on-Don","07:00 pm",2,"Croatia"
"41","Wednesday","2018-06-27","South Korea",2,0,NA,NA,"Germany","Group F","Kazan","03:00 pm",2,"South Korea"
