"study","location","volume"
"SmartStreetSensor","000749",1.71484375
"SmartStreetSensor","000750",0.22265625
"SmartStreetSensor","000751",1.8056640625
"SmartStreetSensor","000752",1.2158203125
"SmartStreetSensor","000753",0.3779296875
"SmartStreetSensor","000754",3.4150390625
"SmartStreetSensor","000755",0.3642578125
"SmartStreetSensor","000756",0.45703125
"SmartStreetSensor","000763",0.1796875
"SmartStreetSensor","000764",0.44921875
"SmartStreetSensor","000765",0.7724609375
"SmartStreetSensor","000766",1.208984375
"SmartStreetSensor","000767",1.294921875
"SmartStreetSensor","000768",1.140625
"SmartStreetSensor","000770",0.9560546875
"SmartStreetSensor","000772",2.30078125
"SmartStreetSensor","000774",0.228515625
"SmartStreetSensor","000775",0.849609375
"SmartStreetSensor","000776",1.40625
"SmartStreetSensor","000778",2.7060546875
"SmartStreetSensor","000779",0.2666015625
"SmartStreetSensor","000780",0.0361328125
"SmartStreetSensor","000784",2.484375
"SmartStreetSensor","000785",1.1884765625
"SmartStreetSensor","000786",0.033203125
"SmartStreetSensor","000787",1.5966796875
"SmartStreetSensor","000790",0.654296875
"SmartStreetSensor","000791",1.001953125
"SmartStreetSensor","000792",0.9306640625
"SmartStreetSensor","000793",0.1376953125
"SmartStreetSensor","000794",1.3359375
"SmartStreetSensor","000795",0.3974609375
"SmartStreetSensor","000796",1.4970703125
"SmartStreetSensor","000797",1.2841796875
"SmartStreetSensor","000798",1.1064453125
"SmartStreetSensor","000799",0.7294921875
"SmartStreetSensor","000800",1.005859375
"SmartStreetSensor","000801",0.537109375
"SmartStreetSensor","000802",1.5615234375
"SmartStreetSensor","000806",0.6767578125
"SmartStreetSensor","000809",0.0849609375
"SmartStreetSensor","000810",0.9365234375
"SmartStreetSensor","000811",0.8759765625
"SmartStreetSensor","000812",1.08203125
"SmartStreetSensor","000813",0.2197265625
"SmartStreetSensor","000815",2.91015625
"SmartStreetSensor","000816",1.6220703125
"SmartStreetSensor","000817",0.626953125
"SmartStreetSensor","000819",0.736328125
