"location","time","count"
"000749","0000",40
"000749","0005",57
"000749","0010",50
"000749","0015",133
"000749","0020",117
"000749","0025",139
"000749","0030",80
"000749","0035",99
"000749","0040",71
"000749","0045",76
"000749","0050",100
"000749","0055",76
"000749","0100",102
"000749","0105",82
"000749","0110",68
"000749","0115",107
"000749","0120",88
"000749","0125",79
"000749","0130",64
"000749","0135",68
"000749","0140",60
"000749","0145",63
"000749","0150",68
"000749","0210",67
"000749","0215",64
"000749","0220",56
"000749","0225",55
"000749","0230",77
"000749","0235",78
"000749","0240",77
"000749","0245",51
"000749","0250",68
"000749","0255",69
"000749","0300",90
"000749","0305",74
"000749","0310",79
"000749","0315",55
"000749","0320",79
"000749","0325",45
"000749","0330",91
"000749","0335",68
"000749","0340",84
"000749","0345",91
"000749","0350",65
"000749","0355",48
"000749","0400",30
"000749","0405",59
"000749","0410",41
"000749","0415",50
"000749","0420",77
"000749","0425",50
"000749","0430",30
"000749","0435",63
"000749","0440",32
"000749","0445",47
"000749","0450",27
"000749","0455",26
"000749","0500",58
"000749","0505",19
"000749","0510",43
"000749","0515",20
"000749","0520",45
"000749","0525",43
"000749","0530",14
"000749","0535",56
"000749","0540",26
"000749","0545",24
"000749","0550",41
"000749","0610",38
"000749","0615",41
"000749","0620",19
"000749","0625",46
"000749","0630",18
"000749","0635",18
"000749","0640",51
"000749","0645",21
"000749","0650",41
"000749","0655",11
"000749","0700",17
"000749","0705",43
"000749","0710",34
"000749","0715",41
"000749","0720",36
"000749","0725",20
"000749","0730",45
"000749","0735",18
"000749","0740",60
"000749","0745",21
"000749","0750",16
"000749","0755",53
"000749","0800",25
"000749","0805",36
"000749","0810",69
"000749","0815",70
"000749","0820",67
"000749","0825",38
"000749","0830",64
"000749","0835",33
"000749","0840",52
"000749","0845",78
"000749","0850",28
"000749","0855",36
"000749","0910",52
"000749","0915",56
"000749","0920",92
"000749","0925",45
"000749","0930",48
"000749","0935",69
"000749","0940",50
"000749","0945",61
"000749","0950",63
"000749","0955",48
"000749","1000",53
"000749","1005",30
"000749","1010",53
"000749","1015",66
"000749","1020",77
"000749","1025",94
"000749","1030",58
"000749","1035",71
"000749","1040",101
"000749","1045",57
"000749","1050",100
"000749","1055",65
"000749","1100",96
"000749","1105",123
"000749","1110",109
"000749","1115",72
"000749","1120",110
"000749","1125",82
"000749","1130",100
"000749","1135",110
"000749","1140",102
"000749","1145",87
"000749","1150",134
"000749","1155",96
"000749","1200",87
"000749","1205",106
"000749","1210",104
"000749","1230",119
"000749","1235",145
"000749","1240",130
"000749","1245",102
"000749","1250",118
"000749","1255",69
"000749","1300",128
"000749","1305",116
"000749","1310",77
"000749","1315",160
"000749","1320",144
"000749","1325",134
"000749","1330",199
"000749","1335",165
"000749","1340",139
"000749","1345",194
"000749","1350",179
"000749","1355",151
"000749","1400",161
"000749","1405",177
"000749","1410",127
"000749","1415",136
"000749","1420",113
"000749","1425",134
"000749","1430",149
"000749","1435",152
"000749","1440",116
"000749","1445",129
"000749","1450",198
"000749","1455",111
"000749","1500",125
"000749","1505",145
"000749","1510",150
"000749","1515",181
"000749","1520",175
"000749","1525",126
"000749","1530",169
"000749","1535",98
"000749","1540",189
"000749","1545",145
"000749","1550",154
"000749","1610",130
"000749","1615",162
"000749","1620",160
"000749","1625",192
"000749","1630",194
"000749","1635",118
"000749","1640",229
"000749","1645",139
"000749","1650",147
